ELIMINATING SELF DEFEATING BEHAVIORS,MILTON R. CUDNEY,,MENTAL WELLNESS/SELF-HELP,9/8/15,11/7/15,,SHORT,,,
WISDOM ALONG THE WAY,NANCY HUNTER DENNEY,,MENTAL WELLNESS/SELF-HELP,9/19/15,12/6/15,,"BUDDHA, THE BEACON OF LIGHT FOR THE TROUBLED WORLD",,,
"MARRIAGE, FAMILY AND RESIDENCE","PAUL BOHANNAN, JOHIN MIDDLETON",,MENTAL WELLNESS/SELF-HELP,4/3/16,12/2/17,,THE PREMIER BOOK OF MAJOR POETS: AN ANTHOLOGY,,,
SOUL OF A CITIZEN: LIVING WITH CONVICTION,PAUL ROGAT LOEB,,MENTAL WELLNESS/SELF-HELP,9/8/15,11/7/15,,PLAINWATER ESSAYS AND POETRY,,,
THE IMPOSSIBLE WILL TAKE A WHILE,PAUL ROGAT LOEB,,MENTAL WELLNESS/SELF-HELP,4/2/15,9/19/15,,A WOMAN AND HER GOD,,,
101 WAYS TO PROMOTE YOURSELF,RALEIGH PINSKEY,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,AN INTRODUCTION TO THE PROSE POEM,,,
PREPARING INSTRUCTIONAL OBJECTIVES,ROBERT F. MAGER,,MENTAL WELLNESS/SELF-HELP,10/31/15,2/10/18,,POETRY,,,
PREPARING INSTRUCTIONAL OBJECTIVES,ROBERT F. MAGER,,MENTAL WELLNESS/SELF-HELP,10/31/15,9/15/18,,BUDDHISM: A VERY SHORT INTRODUCTION,,,
NONSENSE: HOW TO OVERCOME IT,ROBERT J. GULA,,MENTAL WELLNESS/SELF-HELP,11/9/16,10/14/17,,GOD AND THE BIG BANG,,,
THE DREAMER'S GUIDE: BOOK OF THE DEAD,ROBERT MOSS,,MENTAL WELLNESS/SELF-HELP,10/14/17,2/10/18,,POEMS AND ESSAYS OF POETRY,,,
GETTING TO YES: NEGOTIATING AGREEMENT WITHOUT GIVING IN,"ROGER FISHER, WILLIAM URY",,MENTAL WELLNESS/SELF-HELP,3/31/17,2/10/18,,WINDOW BOXES FULL OF SNOW,,,
GETTING TO YES: NEGOTIATING AGREEMENT WITHOUT GIVING IN,"ROGER FISHER, WILLIAM URY",,MENTAL WELLNESS/SELF-HELP,3/31/17,4/21/18,,POEMS,,,
"VINEGAR INTO HONEY: SEVEN STEPS TO UNDERSTANDING AND TRANSFORMING ANGER, AGRESSION, AND VIOLENCE",RON LEIFER,,MENTAL WELLNESS/SELF-HELP,11/9/16,4/22/17,,NEW YORK POEMS,,,
PROUD SPIRIT,ROSEMARY ALTEA,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,SHORT SHORTS,,,
A GUIDE TO CENTERING: THE HARMONIOUS RESPONSE TO LIFE,ROSLYN LOPINTO,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,QUARRY,,,
A SPIRITUAL CONCEPT: THE REAL NATURE OF THINGS,ROSLYN LOPINTO,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,THE SELECTED POETRY OF KEATS,,,
THE LAW OF SOBRIETY,SHERRY GABA,,MENTAL WELLNESS/SELF-HELP,11/9/16,4/22/17,,JULIET THE MANIAC,,,
HOW WE DIE,SHERWIN B. NULAND,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,A LIGHT SONG OF LIGHT,,,
7 HABITS OF HIGHLY EFFECTIVE PEOPLE,STEPHEN R. COVEY,,MENTAL WELLNESS/SELF-HELP,11/6/14,11/7/15,,THE POET'S COMPANION A GUIDE TO THE PLEASURES OF WRITING POETRY,,,
CAREFUL: A USER'S GUIDE TO OUR INJURY-PRONE MINDS,STEVE CASNER,,MENTAL WELLNESS/SELF-HELP,10/14/17,2/10/18,,THE RING SCAR,,,
THE WAR OF ART: BREAK THROUGH THE BLOCKS AND WIN YOUR INNER CREATIVE BATTLES,STEVEN PRESSFIELD,,MENTAL WELLNESS/SELF-HELP,11/9/16,10/14/17,,TALK POETRY,,,
THE UNDEFENDED SELF: LIVING THE PATHWORK OF SPIRITUAL WHOLENESS,SUSAN THESENGA,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,MIND PLATTER,,,
IT'S EASIER THAN YOU THINK,SYLVIA BOORSTEIN,,MENTAL WELLNESS/SELF-HELP,2/13/16,9/17/16,,ONE LAST WORD,,,
I'M OK: YOU'RE OK,THOMAS A. HARRIS,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,POET'S CHOICE,,,
A TASTE OF CHICKEN SOUP FOR THE SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,9/9/17,10/14/17,,250 POEMS: A PORTABLE ANTHOLOGY,,,
A TASTE OF CHICKEN SOUP FOR THE SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,9/9/17,12/8/18,,YOUNG OF THE YEAR,,,
CHICKEN SOUP FOR THE GOLDEN SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,10/31/19,,,AMERICAN POET,,,
CHICKEN SOUP FOR THE GOLDEN SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,11/9/19,12/7/19,,LOVE POEMS,,,
CHICKEN SOUP FOR THE GOLDEN SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,12/2/17,12/2/17,,RATTLE: POETRY FOR THE 21ST CENTURY,,,
CHICKEN SOUP FOR THE GOLDEN SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,2/10/18,9/15/18,,THE POETS OF NEW ENGLAND,,,
CHICKEN SOUP FOR THE GOLDEN SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,2/10/18,9/15/18,,PALE FIRE,,,
CHICKEN SOUP FOR THE GOLDEN SOUL,VARIOUS,,MENTAL WELLNESS/SELF-HELP,4/3/16,9/17/16,,THE BOOK OF FABLES,,,
THE NECESSARY ANGEL,WALLACE STEVENS,,MENTAL WELLNESS/SELF-HELP,9/8/15,2/4/17,,BROWNING SELECTED POEMS CROFT CLASSICS,,,
"MORTALITY, IMMORTALITY, AND OTHER LIFE STRATEGIES",ZYGMUNT BAUMAN,,MENTAL WELLNESS/SELF-HELP,2/13/19,2/13/19,,IDYLLS OF THE KING,,,
"MORTALITY, IMMORTALITY, AND OTHER LIFE STRATEGIES",ZYGMUNT BAUMAN,,MENTAL WELLNESS/SELF-HELP,4/3/16,10/13/18,,MY GARGANTUAN DESIRE,,,
THE SALINGER CONTRACT,ADAM LANGER,,MYSTERY/THRILLER,10/31/19,1/25/20,,OMEROS,,,
AND THEN THERE WERE NONE,AGATHA CHRISTIE,,MYSTERY/THRILLER,10/14/17,10/14/17,,FROM THE HEART,,,
PARTNERES IN CRIME,AGATHA CHRISTIE,,MYSTERY/THRILLER,10/31/19,1/25/20,,NOW THE GREEN BLADE RISES POEMS,,,
PASSENGER TO FRANKFURT,AGATHA CHRISTIE,,MYSTERY/THRILLER,9/19/15,9/19/15,,THE WOMAN IN THIS POEM: WOMEN'S VOICES IN POETRY,,,
REMEMBERED DEATH,AGATHA CHRISTIE,,MYSTERY/THRILLER,12/7/19,1/25/20,,VERSE TERSE AND WHAT'S WORSE: SOME LOVE POEMS,,,
THE SEVEN DIALS MYSTERY,AGATHA CHRISTIE,,MYSTERY/THRILLER,10/31/19,,,"WHEN I WALK THROUGH THAT DOOR, I AM",,,
THREE BLIND MICE AND OTHER STORIES,AGATHA CHRISTIE,,MYSTERY/THRILLER,11/9/19,,,IN AVANT-GARDENS,,,
THE SWEETNESS AT THE BOTTOM OF THE PIE,ALAN BRADLEY,,MYSTERY/THRILLER,10/31/19,11/9/19,,PINK MIST,,,
THE NO. 1 LADIES' DETECTIVE AGENCY,ALEXANDER MCCALL SMITH,,MYSTERY/THRILLER,12/7/19,,,HOW TO WRITE POETRY,,,
THE KILL,ALLISON BRENNAN,,MYSTERY/THRILLER,10/31/19,,,THE BEST OF THE POEM: AN INTERNATIONAL JOURNAL,,,
ICE CROWN,ANDRE NORTON,,MYSTERY/THRILLER,4/3/16,9/17/16,,THE ROMANTIC DOGS: POEMS,,,
THE NECROPOLIS RAILWAY,ANDREW MFARTIN,,MYSTERY/THRILLER,4/3/16,4/23/16,,THE LONG TAKE,,,
BUT I TRUSTED YOU AND OTHER TRUE CASES,ANN RULE,,MYSTERY/THRILLER,4/20/19,4/20/19,,CURVES TO THE APPLE,,,
NO REGRETS AND OTHER TRUE CASES,ANN RULE,,MYSTERY/THRILLER,4/20/19,4/20/19,,POEMCRAZY,,,
"BELLFIELD HALL, OR THE DEDUCTIONS OF MISS DIDO KENT",ANNA DEAN,,MYSTERY/THRILLER,11/9/16,2/4/17,,PLEIADES,,,
RUN AMONG THORNS,ANNA LOUISE LUCIA,,MYSTERY/THRILLER,11/9/19,,,CROSSWORDS: VOLUME 3,,,
NEVADA BARR,ANNA PIGEON,,MYSTERY/THRILLER,10/31/15,11/7/15,,WHY DO CLOCKS RUN CLOCKWISE? AND OTHER IMPONDERABLES,,,
KNIT TO KILL,ANNE CANADEO,,MYSTERY/THRILLER,2/10/18,10/13/18,,BIG LEAGUE BASEBALL PUZZLERS,,,
THE FACE OF A STRANGER,ANNE PERRY,,MYSTERY/THRILLER,10/31/19,12/7/19,,CROSSWORD MYSTERIES DARING DETECTIVE CHALLENGE,,,
THE ADVENTURES OF SHERLOCK HOLMES,ARTHUR CONAN DOYLE,,MYSTERY/THRILLER,11/6/14,11/7/15,,THE BIG BOOK OF AMERICAN TRIVIA,,,
THE HOUND OF THE BAKERSFIELD: AN ADVENTURE OF SHERLOCK HOLMES,ARTHUR CONAN DOYLE,,MYSTERY/THRILLER,10/14/17,10/14/17,,SECRET GARDEN,,,
THE HOUND OF THE BAKERSFIELD: AN ADVENTURE OF SHERLOCK HOLMES,ARTHUR CONAN DOYLE,,MYSTERY/THRILLER,10/31/19,12/7/19,,THE WINNER'S GUIDE TO DICE,,,
THE READYMADE THIEF,AUGUSTUS ROSE,,MYSTERY/THRILLER,10/13/18,10/13/18,,LARGE PRINT WORD-FINDS,,,
THE READYMADE THIEF,AUGUSTUS ROSE,,MYSTERY/THRILLER,10/14/17,4/21/18,,WHO WANTS TO BE A MILLIONARE,,,
THE MAN WHO WAS POE,AVI,,MYSTERY/THRILLER,10/14/17,10/14/17,,DOG ATE MY MAD LIBS,,,
STITCHES IN TIME,BARBARA MICHAELS,,MYSTERY/THRILLER,10/14/17,10/13/18,,"GIANT ACTIVITY BOOK (COLORING, PUZZLES, GAMES)",,,
THE DANCING FLOOR,BARBARA MICHAELS,,MYSTERY/THRILLER,10/31/15,11/7/15,,HOLIDAY WORD SEARCH,,,
CLASSIC GHOST STORIES,BILL BOWERS,,MYSTERY/THRILLER,2/10/18,2/10/18,,HUMAN CRYPTOGRAMS,,,
THE WINTER QUEEN,BORIS AKUNIN,,MYSTERY/THRILLER,11/9/16,4/22/17,,J.R.R. TRIVIA,,,
THE PRESIDENT'S SHADOW,BRAD MELTZER,,MYSTERY/THRILLER,10/14/17,10/14/17,,PUZZLE ACTIVITY BOOK,,,
DAYS OF RAGE,BRAD TAYLOR,,MYSTERY/THRILLER,10/31/19,,,SUPER CROSSWORDS,,,
THE DIVINER'S TALE,BRADFORD MORROW,,MYSTERY/THRILLER,10/31/19,1/25/20,,THE ORIGINAL TRIVIA TREASURY,,,
CARL WEBER'S KINGPINS CLEVELAND,BRANDI JOHNSON,,MYSTERY/THRILLER,12/7/19,,,CAN YOU FIND IT?,,,
THE ICE PRINCESS,CAMILLA LACKBERG,,MYSTERY/THRILLER,12/2/17,12/2/17,,LAW DICTIONARY,,,
FLEECED,CAROL HIGGINS CLARK,,MYSTERY/THRILLER,11/9/19,,,A DICTIONARY OF POLITICS FOURTH EDITION,,,
HITCHED: A REGAN REILLY MYSTERY,CAROL HIGGINS CLARK,,MYSTERY/THRILLER,10/31/15,11/7/15,,ARCADE DICTIONARY OF WORD ORIGINS,,,
BORN TO BE WILD,CATHERINE COULTER,,MYSTERY/THRILLER,11/9/19,,,ATLAS OF THE WORLD,,,
IMPULSE,CATHERINE COULTER,,MYSTERY/THRILLER,11/9/19,1/25/20,,CHOOSE YOUR WORDS: A SCHOOL THESAURUS,,,
TAIL SPIN,CATHERINE COULTER,,MYSTERY/THRILLER,11/9/19,,,CROSSWORD DICTIONARY,,,
A SPY BY NATURE,CHARLES CUMMING,,MYSTERY/THRILLER,10/31/19,11/9/19,,DESCRIPTIONARY,,,
THE ABBEY,CHRIS CULVER,,MYSTERY/THRILLER,10/31/19,11/9/19,,DICTIONARY,,,
NUMBERED ACCOUNT,CHRISTOPHER REICH,,MYSTERY/THRILLER,9/15/18,9/15/18,,DICTIONARY FOR STUDENTS,,,
WOMEN WHO RUN WITH THE WOLVES: MYTHS AND STORIES OF THE WILD WOMAN ARCHETYPE,CLARISSA PINKOLA ESTES,,MYSTERY/THRILLER,4/3/16,9/17/16,,DICTIONARY/THESAURUS,,,
TRIAL,CLIFFORD IRVING,,MYSTERY/THRILLER,10/31/19,,,FIRST THESAURUS,,,
THE DAMNATION GAME,CLIVE BARKER,,MYSTERY/THRILLER,10/31/19,,,GUINNESS WORLD RECORDS 2007,,,
DARK WATCH,CLIVE CUSSLER,,MYSTERY/THRILLER,9/15/18,10/13/18,,SPANISH DICTIONARY,,,
GOLDEN BUDDHA,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,SPANISH-ENGLISH DICTIONARY,,,
ICEBERG,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,THESAURUS,,,
ICEBERG,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,1/25/20,,THESAURUS FOR STUDENTS,,,
LOST CITY,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,AMERICAN PSYCHOLOGIST,,,
MIRAGE,CLIVE CUSSLER,,MYSTERY/THRILLER,9/15/18,9/15/18,,NATIONAL GEOGRAPHIC,,,
NIGHT PROBE!,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,A FIRST UNDERGRADUATE COURSE IN ABSTRACT ALGEBRA,,,
RAISE THE TITANIC,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,CITTAVIVEKA: TEACHINGS FROM THE SILENT MIND,,,
SHOCK WAVE,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,THE FOUR NOBLE TRUTHS,,,
SKELETON COAST,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,1/25/20,,THE ACCIDENTAL UNIVERSE: THE WORLD YOU THOUGHT YOU KNEW,,,
VALHALLA RISING,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,SPIRITUAL EXCELLENCE,,,
VIXEN 03,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,SAINT ANTHONY OF PADUA: A VOICE FROM HEAVEN,,,
VIXEN 03,CLIVE CUSSLER,,MYSTERY/THRILLER,11/9/19,,,"EVALUATION FUNDAMENTALS - INSIGHTS INTO THE OUTCOMES, EFFECTIVENESS, AND QUALITY OF HEALTH PROGRAMS",,,
VIXEN 03,CLIVE CUSSLER,,MYSTERY/THRILLER,12/2/17,12/2/17,,DAY BY DAY: THE NOTRE DAME PRAYERBOOK FOR STUDENTS,,,
WHITE DEATH,"CLIVE CUSSLER, PAUL KEMPRECOS",,MYSTERY/THRILLER,10/31/19,,,ENCOUNTERING JESUS IN THE NEW TESTAMENT,,,
WHITE DEATH,"CLIVE CUSSLER, PAUL KEMPRECOS",,MYSTERY/THRILLER,11/9/19,,,MEETING JESUS IN THE SACRAMENTS,,,
LOCAL KNOWLEDGE,CONOR DALY,,MYSTERY/THRILLER,12/7/19,,,YOUR LIFE IN CHRIST: FOUNDATIONS OF CATHOLIC MORALITY,,,
INFERNO,DAN BROWN,,MYSTERY/THRILLER,11/9/19,,,THE NOBLE EIGHTFOLD PATH,,,
THE DAVINCI CODE,DAN BROWN,,MYSTERY/THRILLER,11/9/19,11/9/19,,THE LIFE OF BUDDHA,,,
THE LOST SYMBOL,DAN BROWN,,MYSTERY/THRILLER,11/9/19,11/9/19,,THE PROBLEM OF PAIN,,,
SWAN,DAN SHERMAN,,MYSTERY/THRILLER,2/13/16,9/17/16,,CHEMISTRY STUDY GUIDE,,,
HALF-RESURRECTION BLUES,DANIEL JOSE OLDER,,MYSTERY/THRILLER,10/14/17,10/14/17,,LIFE IN THE REAL WORLD: 5-MINUTE DEVOTIONS FOR TEENS,,,
MOSCOW RULES,DANIEL SILVA,,MYSTERY/THRILLER,12/2/17,12/2/17,,REDEEMING CREATION:THE BIBLICAL BASIS FOR ENVIRONMENTAL STEWARDSHIP,,,
CIRQUE DU FREAK: TRIALS OF DEATH,DARREN SHAN,,MYSTERY/THRILLER,3/31/17,10/13/18,,WHAT SURVIVES?: CONTEMPORARY EXPLORATIONS OF LIFE AFTER DEATH,,,
ABSOLUTE POWER,DAVID BALDACCI,,MYSTERY/THRILLER,10/31/19,11/9/19,,THE GENTLE WAY OF BUDDHIST MEDITATION,,,
HOUR GAME,DAVID BALDACCI,,MYSTERY/THRILLER,11/9/19,1/25/20,,SON OF TEARS,,,
LAST MAN STANDING,DAVID BALDACCI,,MYSTERY/THRILLER,11/9/19,1/25/20,,A DICTIONARY OF LITURGY AND WORSHIP,,,
ZERO DAY,DAVID BALDACCI,,MYSTERY/THRILLER,4/3/16,4/23/16,,THE BOOK OF THE SUBGENIUS,,,
MEMORY MAN,DAVID BALDUCCI,,MYSTERY/THRILLER,2/10/18,2/10/18,,SAVIOR,,,
THE 25TH HOUR,DAVID BENIOFF,,MYSTERY/THRILLER,11/9/16,2/4/17,,"THE TENTH INSIGHT: HOLDING THE VISION, A POCKET GUIDE",,,
LET THE DOG DRIVE,DAVID BOWMAN,,MYSTERY/THRILLER,11/9/19,,,WORLD RELIGIONS:A VOYAGE OF DISCOVERY,,,
DO THEY KNOW I'M RUNNING,DAVID CORBETT,,MYSTERY/THRILLER,10/31/19,12/7/19,,SEEING AND SAVORING JESUS CHRIST,,,
BLACK DEATH AT THE GOLDEN GATE,DAVID K. RANDALL,,MYSTERY/THRILLER,9/14/19,,,JOSHUA,,,
BLACK DEATH AT THE GOLDEN GATE,DAVID K. RANDALL,,MYSTERY/THRILLER,9/14/19,9/14/19,,SEEKING THE HEART OF WISDOM: THE PATH OF INSIGHT MEDITATION,,,
THE GIRL IN THE SPIDER'S WEB,DAVID LAGERCRANTZ,,MYSTERY/THRILLER,11/9/19,,,BROKEN FOR HIS GLORY,,,
FROM THE CORNER OF HIS EYE,DEAN R. KOONTZ,,MYSTERY/THRILLER,2/13/16,2/13/16,,DISCOVER THE BIBLE FOR YOURSELF,,,
MIDNIGHT,DEAN R. KOONTZ,,MYSTERY/THRILLER,10/31/19,,,HOW TO STUDY YOUR BIBLE,,,
STRANGERS,DEAN R. KOONTZ,,MYSTERY/THRILLER,10/31/19,,,THE SUNDAY READINGS,,,
THE FACE OF FEAR,DEAN R. KOONTZ,,MYSTERY/THRILLER,12/7/19,1/25/20,,HEALING WORDS,,,
THE GOOD GUY,DEAN R. KOONTZ,,MYSTERY/THRILLER,10/14/17,10/14/17,,A CASE FOR FAITH,,,
THE HOUSE OF THUNDER,DEAN R. KOONTZ,,MYSTERY/THRILLER,10/31/19,12/7/19,,RESTLESS HEART: THE STORY OF AUGUSTINE'S CONVERSION,,,
THE SERVANTS OF TWILIGHT,DEAN R. KOONTZ,,MYSTERY/THRILLER,12/7/19,1/25/20,,GOD WHISPERS IN THE NIGHT,,,
THE VISION,DEAN R. KOONTZ,,MYSTERY/THRILLER,10/31/19,,,OPENING THE BOOK OF FAITH,,,
THE VOICE OF THE NIGHT,DEAN R. KOONTZ,,MYSTERY/THRILLER,10/31/19,,,WRITTEN ON OUR HEARTS: THE OLD TESTAMENT STORY OF GOD'S LOVE,,,
TWILIGHT EYES,DEAN R. KOONTZ,,MYSTERY/THRILLER,12/7/19,12/7/19,,REDISCOVER CATHOLICISM: A SPIRITUAL GUIDE TO LIVING WITH PASSION AND PURPOSE,,,
WATCHERS,DEAN R. KOONTZ,,MYSTERY/THRILLER,12/7/19,12/7/19,,REDISCOVER JESUS,,,
PART OF THE SILENCE,DEBBIE HOWELLS,,MYSTERY/THRILLER,10/14/17,12/2/17,,THE FOUR SIGNS OF A DYNAMIC CATHIKIC,,,
MYSTIC RIVER,DENNIS LEHANE,,MYSTERY/THRILLER,10/14/17,10/14/17,,OUR CATHOLIC FAITH: LIVING WHAT WE BELIEVE,,,
THE QUANTUM BREACH,DENVER ACEY,,MYSTERY/THRILLER,11/9/19,1/25/20,,THE SEEKER'S CATECHISM,,,
THE LIFE OF DAVID GALE,DEWEY GRAM,,MYSTERY/THRILLER,11/9/19,11/9/19,,HEARTS ON FIRE - PRAYING WITH JESUITS,,,
THE LAST SUPPERS,DIANNE DAVIDSON,,MYSTERY/THRILLER,3/4/17,3/4/17,,HOLY BIBLE,,,
SECOND WIND,DICK FRANCIS,,MYSTERY/THRILLER,11/9/19,,,LIFE APPLICATION STUDY BIBLE,,,
DO NO HARM,DON DONALDSON,,MYSTERY/THRILLER,10/31/19,,,MYTHOLOGY,,,
CLOUDS OF WITNESS,DOROTHY L. SAYERS,,MYSTERY/THRILLER,10/31/19,,,OUR DAILY BREAD,,,
RIDDLE ME A MURDER,DUANE CROWLEY,,MYSTERY/THRILLER,11/9/16,2/10/18,,THE BOOK OF MORMON: ANOTHER TESTAMENT OF JESUS CHRIST,,,
THE GOLD-BUG AND OTHER TALES,EDGAR ALLEN POE,,MYSTERY/THRILLER,10/14/17,10/14/17,,THE CATHOLIC YOUTH BIBLE,,,
ETHAN FROME,EDITH WHARTON,,MYSTERY/THRILLER,12/7/19,,,THE NEW OXFORD ANNOTATED BIBLE,,,
MEMORY CAN BE MURDER,ELIZABETH DANIELS SQUIRE,,MYSTERY/THRILLER,12/7/19,1/25/20,,THE UNLIMITED POWER OF PRAYER,,,
MISSING JOSEPH,ELIZABETH GEORGE,,MYSTERY/THRILLER,10/31/19,1/25/20,,UNION PRAYER BOOK,,,
WELL-SCHOOLED IN MURDER,ELIZABETH GEORGE,,MYSTERY/THRILLER,10/14/17,10/14/17,,A MANUAL OF BUDDHISM,,,
I AM WATCHING,EMMA KAVANAGH,,MYSTERY/THRILLER,9/14/19,,,CONVERSATIONS WITH GOD,,,
I AM WATCHING,EMMA KAVANAGH,,MYSTERY/THRILLER,9/14/19,9/14/19,,GROWING YOUR SOUL: PRACTICAL STEPS TO INCREASE YOUR SPIRITUALITY,,,
FLOATING CITY,"ERIC LUSTABADER, NICHOLAS LINNEAR",,MYSTERY/THRILLER,10/14/17,9/15/18,,THE JEWISH HOLIDAY HOME COMPANION,,,
A FINE ITALIAN HAND,ERIC WRIGHT,,MYSTERY/THRILLER,10/14/17,10/14/17,,SHAMANISM,,,
LAST SNOW,ERICA VAN LUSTBADER,,MYSTERY/THRILLER,4/3/16,4/23/16,,TO THE PRAISE OF HIS GLORY,,,
THE CASE OF THE POSTPONED MURDER,ERLE STANLEY,,MYSTERY/THRILLER,11/9/19,12/7/19,,YOU CAN WITNESS WITH CONFIDENCE,,,
THREE VICTORIAN DETECTIVE NOVELS,EVERETT F. BLEIER,,MYSTERY/THRILLER,12/2/17,12/2/17,,CHINESE GLEAMS OF SUFI LIGHT,,,
THE BURNT HOUSE,FAYE KELLERMAN,,MYSTERY/THRILLER,10/14/17,10/14/17,,NATIVE AMERICAN RELIGIONS,,,
TO THE SEVENTH POWER,FELICE PICANO,,MYSTERY/THRILLER,12/7/19,,,GEMSTONES OF THE GOOD DHARMA,,,
TO SHIELD THE QUEEN,FIONA BUCKLEY,,MYSTERY/THRILLER,12/7/19,1/25/20,,DHAMMAPADA: A PRACTICAL GUIDE TO RIGHT LIVING,,,
MASQUERADE,GAYLE LYNDS,,MYSTERY/THRILLER,10/14/17,10/14/17,,A LIFE OF BLESSINGS,,,
DRAMA CITY,GEORGE PELECANOS,,MYSTERY/THRILLER,10/14/17,12/2/17,,SPRITUAL MENTORING,,,
REASONABLE DOUBTS,GIANRICO CAROFIGLIO,,MYSTERY/THRILLER,11/9/16,2/4/17,,THE WINGS TO AWAKENING,,,
FORTY WORDS FOR SORROW,GILES BLUNT,,MYSTERY/THRILLER,11/9/16,2/4/17,,BEING PEACE,,,
EVERYDAY ABOVE GROUND,GLEN ERIK HAMILTON,,MYSTERY/THRILLER,10/14/17,10/14/17,,EMBRACED BY ANGELS,,,
THE QUIET GAME,GREG GILES,,MYSTERY/THRILLER,10/14/17,10/14/17,,RELIGIOUS WORLDS: THE COMPARITIVE STUDY OF RELIGION,,,
THE TRIP OF A LIFE,GREG PALMER,,MYSTERY/THRILLER,4/3/16,11/1/16,,BIG CHERRY HOLLER,,,
THE ANTIQUARIAN,GUSTAVO FAVERON PATRIAU,,MYSTERY/THRILLER,9/15/18,10/13/18,,SEDUCTION,,,
THE CASE OF CHARLES DEXTERWARD,H. P. LOVECRAFT,,MYSTERY/THRILLER,10/14/17,10/14/17,,TENDER ASSAULT,,,
THE DREAM-QUEST OF UNKNOWN KADATH,H. P. LOVECRAFT,,MYSTERY/THRILLER,10/14/17,10/14/17,,THE ACCIDENTAL TOURIST,,,
JAWS 2,HANK SEARLS,,MYSTERY/THRILLER,12/2/17,12/2/17,,THE FENCING MASTER,,,
BACK SPIN,HARLAN COBEN,,MYSTERY/THRILLER,10/31/15,11/7/15,,SECRETS FROM THE PAST,,,
SIX YEARS,HARLAN COBEN,,MYSTERY/THRILLER,9/19/15,9/19/15,,THE READER,,,
THE ATTORNEY,HAROLD Q. MASUR,,MYSTERY/THRILLER,12/2/17,12/2/17,,GOLD MOUNTAIN,,,
MURDER IN EDEN,HELEN GOODNMAN,,MYSTERY/THRILLER,11/9/19,,,RELENTLESS,,,
LUCKY,HENRY CHANG,,MYSTERY/THRILLER,10/14/17,10/13/18,,DARK CELEBRATION,,,
LEGACY OF A SPY,HENRY S. MAXFIELD,,MYSTERY/THRILLER,12/2/17,2/10/18,,DARK CURSE,,,
SUMMER HOUSE WITH SWIMMING POOL,HERMAN KOCH,,MYSTERY/THRILLER,4/22/17,12/2/17,,DARK POSSESSION,,,
THE CASE OF THE MISSING BOOKS,IAN SANSOM,,MYSTERY/THRILLER,10/31/19,,,ANSWERED PRAYERS,,,
THE WOMANSLEUTH ANTHOLOGY: CONTEMPORARY MYSTERY STORIES BY WOMEN,IRENE ZAHAVA,,MYSTERY/THRILLER,3/31/17,4/21/18,,GOING HOME,,,
LONG AFTER MIDNIGHT,IRIS JOHANSEN,,MYSTERY/THRILLER,11/9/19,1/25/20,,SEASON OF PASSION,,,
PANDORA'S DAUGHTER,IRIS JOHANSEN,,MYSTERY/THRILLER,10/31/19,,,BLESSING,,,
QUICKSAND,IRIS JOHANSEN,,MYSTERY/THRILLER,10/31/19,,,THREAT FROM THE PAST,,,
THE FACE OF DECEPTION,IRIS JOHANSEN,,MYSTERY/THRILLER,11/9/19,1/25/20,,FIFTY SHADES DARKER,,,
KISS IF THE BEES,J. A. JANCE,,MYSTERY/THRILLER,10/31/19,,,FIFTY SHADES FREED,,,
INJUSTICE FOR ALL,J. A. JANICE,,MYSTERY/THRILLER,10/31/19,,,FIFTY SHADES OF GREY,,,
PARADISE LOST,J. A. JANICE,,MYSTERY/THRILLER,11/9/19,11/9/19,,THE BLUE BISTRO,,,
BORN IN DEATH,J. D. ROBB,,MYSTERY/THRILLER,10/14/17,12/2/17,,THE UNMARRIED BRIDE,,,
DELUSION IN DEATH,J. D. ROBB,,MYSTERY/THRILLER,11/9/19,1/25/20,,JUST HER LUCK,,,
MEMORY IN DEATH,J. D. ROBB,,MYSTERY/THRILLER,10/14/17,10/14/17,,ANGEL OF MERCY,,,
